,participant,frame,pose,hand_left,hand_right,leftHandTouching,rightHandTouching
631,p_45,0,"[136.474, 139.153, 0.852685, 134.995, 148.647, 0.893855, 99.6979, 147.322, 0.820352, 86.1412, 219.308, 0.780326, 124.178, 183.979, 0.870293, 167.702, 148.655, 0.863278, 177.162, 215.264, 0.830351, 147.338, 178.603, 0.875311, 129.594, 235.626, 0.583957, 102.435, 235.622, 0.60386, 150.007, 232.941, 0.769295, 203.046, 322.623, 0.66186, 155.435, 234.289, 0.540001, 137.746, 277.752, 0.67358, 136.456, 405.51, 0.401853, 129.622, 132.331, 0.831758, 145.962, 133.695, 0.897791, 117.398, 121.462, 0.711661, 156.823, 124.173, 0.715321, 137.782, 429.946, 0.363025, 0, 0, 0, 136.393, 425.873, 0.344953, 235.622, 321.278, 0.645924, 227.467, 330.701, 0.573875, 205.716, 333.469, 0.448647]","[148.108, 178.351, 0.114531, 139.224, 178.351, 0.088029, 130.832, 175.883, 0.0584377, 127.13, 159.594, 0.0830022, 136.509, 156.88, 0.0441917, 123.181, 163.79, 0.109306, 129.105, 157.126, 0.0435318, 132.313, 156.139, 0.0563248, 136.509, 157.126, 0.0352594, 134.534, 155.399, 0.057344, 130.585, 153.918, 0.0610586, 134.041, 152.931, 0.0515525, 136.509, 156.88, 0.0316905, 140.704, 159.101, 0.0474417, 127.377, 153.671, 0.0413087, 135.028, 153.178, 0.0353675, 131.079, 152.437, 0.0295585, 141.938, 153.424, 0.0413697, 144.16, 155.892, 0.0425339, 146.134, 156.88, 0.0363299, 130.832, 153.424, 0.0172121]","[125.444, 184.681, 0.574333, 124.638, 176.62, 0.399843, 124.101, 164.796, 0.254985, 125.982, 160.227, 0.121919, 122.757, 155.122, 0.0955184, 121.951, 163.721, 0.556281, 122.757, 157.54, 0.542195, 124.907, 153.509, 0.69735, 126.788, 151.36, 0.654172, 122.757, 166.139, 0.679098, 126.519, 158.884, 0.509645, 130.819, 154.047, 0.493126, 131.894, 151.628, 0.500385, 124.907, 169.364, 0.613392, 128.938, 161.034, 0.599453, 132.162, 156.465, 0.467303, 134.043, 153.778, 0.481691, 128.669, 172.857, 0.70571, 131.894, 166.408, 0.718063, 135.118, 162.377, 0.797714, 135.924, 158.615, 0.681128]",False,False
1342,p_45,1,"[136.468, 139.153, 0.854782, 134.993, 148.65, 0.892199, 99.6958, 147.323, 0.819814, 86.1398, 219.309, 0.780603, 124.177, 183.979, 0.87, 167.702, 148.655, 0.863108, 177.163, 215.264, 0.829733, 147.335, 178.604, 0.875418, 129.594, 235.627, 0.584014, 102.436, 235.623, 0.603628, 150.016, 232.945, 0.766453, 203.049, 322.624, 0.663515, 155.434, 234.289, 0.540768, 137.748, 277.756, 0.674155, 136.45, 404.152, 0.394489, 129.617, 132.326, 0.830621, 145.961, 133.698, 0.899262, 117.396, 121.452, 0.706856, 156.817, 124.173, 0.712613, 137.794, 428.646, 0.358681, 0, 0, 0, 136.394, 425.893, 0.347842, 235.627, 321.276, 0.648136, 227.476, 330.699, 0.577236, 205.716, 333.474, 0.454807]","[148.104, 178.353, 0.113339, 127.125, 177.859, 0.0849792, 130.828, 175.638, 0.0590703, 127.125, 159.595, 0.0827575, 136.504, 156.634, 0.0429075, 123.177, 163.791, 0.112526, 129.1, 157.127, 0.0431398, 132.062, 156.387, 0.0570283, 136.257, 157.127, 0.0356699, 125.151, 162.063, 0.0567548, 130.581, 154.166, 0.0619762, 134.036, 152.932, 0.0538103, 134.283, 153.178, 0.0336709, 124.164, 163.791, 0.0468255, 127.372, 153.672, 0.0450875, 134.776, 153.425, 0.0384075, 131.074, 152.685, 0.03086, 142.181, 153.425, 0.0404632, 143.415, 155.646, 0.0391423, 144.402, 155.646, 0.0341063, 130.828, 153.672, 0.0179501]","[125.444, 184.682, 0.574298, 124.637, 176.62, 0.399829, 124.1, 164.796, 0.255723, 125.981, 160.228, 0.120998, 122.756, 155.122, 0.0960457, 121.681, 163.721, 0.555648, 122.756, 157.541, 0.546838, 124.906, 153.51, 0.700389, 126.787, 151.36, 0.653194, 122.488, 166.14, 0.679203, 126.518, 158.884, 0.510836, 130.818, 154.047, 0.498968, 131.893, 151.629, 0.499888, 124.906, 169.364, 0.611814, 128.937, 161.034, 0.600047, 132.162, 156.466, 0.467397, 134.043, 153.779, 0.481043, 128.668, 172.858, 0.706137, 131.893, 166.408, 0.719204, 135.117, 162.378, 0.801068, 135.924, 158.616, 0.680524]",False,False
1597,p_45,2,"[136.468, 139.153, 0.854783, 134.993, 148.65, 0.892182, 99.6958, 147.323, 0.819758, 86.138, 219.309, 0.780424, 124.177, 183.979, 0.870008, 167.702, 148.655, 0.863096, 177.163, 215.264, 0.829756, 147.335, 178.604, 0.875439, 129.594, 235.627, 0.584011, 102.436, 235.623, 0.603694, 150.016, 232.945, 0.76644, 203.049, 322.624, 0.66355, 155.434, 234.289, 0.5407, 137.748, 277.756, 0.674149, 136.45, 404.151, 0.39442, 129.617, 132.326, 0.830615, 145.961, 133.698, 0.899241, 117.396, 121.452, 0.70683, 156.817, 124.173, 0.712626, 137.793, 428.646, 0.359032, 0, 0, 0, 136.394, 425.892, 0.347379, 235.627, 321.276, 0.648154, 227.476, 330.699, 0.577286, 205.716, 333.474, 0.45481]","[148.104, 178.353, 0.113023, 127.125, 177.859, 0.0847085, 130.827, 175.638, 0.0586752, 127.125, 159.595, 0.082955, 136.504, 156.634, 0.0428106, 123.176, 163.791, 0.112315, 129.1, 157.127, 0.0430157, 132.061, 156.387, 0.0569594, 136.257, 157.127, 0.0356027, 125.151, 162.063, 0.0567058, 130.581, 154.166, 0.0619711, 133.789, 153.178, 0.053861, 134.283, 153.178, 0.0337285, 124.164, 163.791, 0.0467852, 127.372, 153.672, 0.0450185, 134.776, 153.425, 0.0383943, 131.074, 152.685, 0.0308347, 142.18, 153.425, 0.0404769, 143.415, 155.646, 0.0388904, 144.402, 155.646, 0.0340129, 130.827, 153.672, 0.01793]","[125.444, 184.682, 0.574007, 124.638, 176.62, 0.399263, 124.1, 164.796, 0.255378, 125.981, 160.228, 0.120855, 122.757, 155.122, 0.0957226, 121.682, 163.721, 0.554556, 122.757, 157.541, 0.545852, 124.906, 153.51, 0.699281, 126.787, 151.36, 0.652672, 122.488, 166.14, 0.678976, 126.519, 158.884, 0.509669, 130.818, 154.047, 0.49756, 131.893, 151.629, 0.49914, 124.906, 169.365, 0.611948, 128.937, 161.034, 0.598935, 132.162, 156.466, 0.466976, 134.043, 153.779, 0.48048, 128.669, 172.858, 0.705297, 131.893, 166.409, 0.718017, 135.118, 162.378, 0.800089, 135.924, 158.616, 0.680625]",False,False
1574,p_45,3,"[136.468, 139.153, 0.854786, 134.993, 148.65, 0.892186, 99.6958, 147.323, 0.819755, 86.138, 219.309, 0.780422, 124.177, 183.979, 0.870002, 167.702, 148.655, 0.86311, 177.163, 215.264, 0.829749, 147.335, 178.604, 0.875436, 129.594, 235.627, 0.583993, 102.436, 235.623, 0.603676, 150.016, 232.945, 0.766437, 203.049, 322.624, 0.663555, 155.434, 234.289, 0.540673, 137.748, 277.756, 0.674087, 136.45, 404.152, 0.393858, 129.617, 132.326, 0.830607, 145.961, 133.698, 0.899232, 117.396, 121.452, 0.706827, 156.817, 124.173, 0.712609, 137.794, 428.646, 0.358111, 0, 0, 0, 136.394, 425.893, 0.347787, 235.627, 321.276, 0.64815, 227.476, 330.699, 0.577286, 205.716, 333.474, 0.454827]","[148.104, 178.353, 0.113023, 127.125, 177.859, 0.0847085, 130.827, 175.638, 0.0586752, 127.125, 159.595, 0.082955, 136.504, 156.634, 0.0428106, 123.176, 163.791, 0.112315, 129.1, 157.127, 0.0430157, 132.061, 156.387, 0.0569594, 136.257, 157.127, 0.0356027, 125.151, 162.063, 0.0567058, 130.581, 154.166, 0.0619711, 133.789, 153.178, 0.053861, 134.283, 153.178, 0.0337285, 124.164, 163.791, 0.0467852, 127.372, 153.672, 0.0450185, 134.776, 153.425, 0.0383943, 131.074, 152.685, 0.0308347, 142.181, 153.425, 0.0404769, 143.415, 155.646, 0.0388904, 144.402, 155.646, 0.0340129, 130.827, 153.672, 0.01793]","[125.444, 184.682, 0.574005, 124.638, 176.62, 0.399265, 124.1, 164.796, 0.25538, 125.981, 160.228, 0.120854, 122.757, 155.122, 0.0957222, 121.682, 163.721, 0.554553, 122.757, 157.541, 0.545846, 124.906, 153.51, 0.699274, 126.787, 151.36, 0.652667, 122.488, 166.14, 0.678974, 126.519, 158.884, 0.509664, 130.818, 154.047, 0.497546, 131.893, 151.629, 0.499158, 124.906, 169.365, 0.611948, 128.937, 161.034, 0.598928, 132.162, 156.466, 0.466967, 134.043, 153.779, 0.480479, 128.669, 172.858, 0.705293, 131.893, 166.409, 0.718013, 135.118, 162.378, 0.800092, 135.924, 158.616, 0.680631]",False,False
621,p_45,4,"[136.467, 139.152, 0.855362, 134.991, 148.651, 0.891204, 99.6962, 147.322, 0.819902, 86.1367, 219.309, 0.780458, 124.176, 183.983, 0.869463, 167.701, 148.657, 0.862981, 177.167, 216.588, 0.827863, 147.343, 179.845, 0.8741, 129.588, 235.639, 0.577727, 102.432, 235.632, 0.599926, 150.014, 232.936, 0.767443, 203.054, 322.632, 0.658038, 155.433, 234.299, 0.53228, 137.747, 277.757, 0.671616, 136.432, 401.429, 0.405134, 129.617, 132.325, 0.830308, 145.959, 133.697, 0.899345, 117.399, 121.447, 0.707601, 156.818, 124.168, 0.714825, 137.776, 428.629, 0.394051, 144.545, 427.27, 0.414884, 136.398, 424.514, 0.319753, 235.629, 321.268, 0.652068, 228.814, 329.403, 0.577972, 205.722, 333.488, 0.458481]","[128.946, 182.314, 0.128751, 126.933, 178.288, 0.0870271, 130.707, 175.52, 0.0522344, 127.184, 159.165, 0.0584239, 136.494, 157.152, 0.0349937, 123.41, 164.449, 0.141372, 128.946, 157.907, 0.0408035, 132.972, 157.152, 0.058909, 135.488, 157.152, 0.0426939, 124.417, 163.443, 0.115936, 130.707, 154.636, 0.0818036, 132.72, 153.881, 0.0753941, 133.978, 152.623, 0.055475, 122.907, 162.688, 0.0806152, 126.681, 153.881, 0.100713, 131.714, 154.385, 0.0776533, 131.462, 152.372, 0.0555833, 122.655, 162.688, 0.0506078, 124.668, 154.133, 0.0435867, 127.688, 154.133, 0.0367729, 131.462, 154.133, 0.0279085]","[125.442, 184.686, 0.574151, 124.636, 176.624, 0.399718, 124.098, 164.8, 0.254995, 125.442, 160.232, 0.116596, 123.023, 155.395, 0.0945919, 121.68, 163.726, 0.556762, 122.755, 157.545, 0.55797, 124.904, 153.514, 0.699603, 126.785, 151.364, 0.653116, 122.486, 166.144, 0.670288, 126.517, 159.157, 0.514351, 130.816, 154.32, 0.498848, 131.891, 151.633, 0.50593, 125.173, 169.638, 0.600473, 128.935, 161.038, 0.582362, 131.891, 157.007, 0.45471, 134.041, 154.051, 0.477241, 128.667, 173.131, 0.708411, 131.891, 166.682, 0.72196, 135.116, 162.382, 0.803475, 135.922, 158.62, 0.669872]",False,False
1666,p_45,5,"[136.468, 139.15, 0.856567, 134.99, 148.652, 0.891027, 99.6947, 147.322, 0.819431, 86.1367, 219.309, 0.780423, 124.176, 183.983, 0.86949, 167.7, 148.658, 0.862825, 177.167, 216.588, 0.827829, 147.343, 179.845, 0.874085, 129.591, 235.64, 0.577221, 102.433, 235.633, 0.599448, 150.013, 232.936, 0.767247, 204.348, 322.644, 0.653518, 155.436, 234.3, 0.532461, 137.746, 277.759, 0.670322, 136.456, 404.15, 0.402541, 129.617, 132.324, 0.830292, 145.959, 133.695, 0.899316, 117.396, 121.451, 0.70751, 156.816, 124.171, 0.710708, 137.767, 429.944, 0.380226, 144.542, 428.591, 0.402899, 136.404, 424.538, 0.335415, 235.616, 321.28, 0.648542, 227.468, 330.701, 0.575119, 205.733, 333.486, 0.44923]","[128.946, 182.314, 0.128742, 126.933, 178.288, 0.0874399, 130.707, 175.52, 0.0523678, 126.933, 159.417, 0.0596287, 136.494, 157.153, 0.0350763, 123.41, 164.449, 0.141271, 128.946, 157.907, 0.0410951, 132.972, 157.153, 0.0592405, 135.488, 157.153, 0.0431323, 124.417, 163.443, 0.114715, 130.707, 154.636, 0.0811785, 132.72, 153.882, 0.0738466, 133.978, 152.624, 0.0539783, 122.907, 162.688, 0.0802257, 126.681, 153.882, 0.0995197, 131.714, 154.385, 0.0751268, 131.462, 152.372, 0.0543015, 122.656, 162.688, 0.0504733, 124.668, 154.133, 0.0440739, 127.688, 154.133, 0.0364034, 131.21, 154.133, 0.0279549]","[125.442, 184.686, 0.574089, 124.636, 176.624, 0.399483, 124.098, 164.8, 0.254846, 125.442, 160.232, 0.116399, 123.023, 155.395, 0.0945416, 121.68, 163.725, 0.556478, 122.755, 157.545, 0.557685, 124.905, 153.514, 0.699654, 126.786, 151.364, 0.652933, 122.486, 166.144, 0.670592, 126.517, 159.157, 0.514254, 130.817, 154.32, 0.498619, 131.891, 151.633, 0.505963, 125.173, 169.637, 0.60079, 128.935, 161.038, 0.582803, 131.891, 157.007, 0.455397, 134.041, 154.051, 0.477683, 128.667, 173.131, 0.708195, 131.891, 166.681, 0.721903, 135.116, 162.382, 0.803862, 135.922, 158.62, 0.670025]",False,False
1180,p_45,6,"[136.468, 139.15, 0.85657, 134.99, 148.652, 0.89102, 99.6947, 147.322, 0.819424, 86.1367, 219.31, 0.780424, 124.176, 183.983, 0.869482, 167.7, 148.658, 0.862813, 177.167, 216.588, 0.827816, 147.343, 179.845, 0.874067, 129.592, 235.641, 0.577023, 102.434, 235.634, 0.599346, 150.013, 232.936, 0.767243, 204.348, 322.644, 0.653493, 155.437, 234.3, 0.532287, 137.746, 277.759, 0.670267, 136.456, 404.15, 0.402307, 129.617, 132.324, 0.830291, 145.959, 133.695, 0.89932, 117.396, 121.451, 0.707507, 156.816, 124.171, 0.710713, 137.767, 429.944, 0.379797, 144.542, 428.591, 0.402454, 136.404, 424.538, 0.335492, 235.616, 321.28, 0.64851, 227.468, 330.701, 0.575086, 205.733, 333.486, 0.449177]","[128.946, 182.314, 0.12872, 126.933, 178.288, 0.0878078, 130.707, 175.52, 0.0523136, 126.933, 159.417, 0.0608979, 136.494, 157.153, 0.0354752, 123.41, 164.449, 0.141714, 128.946, 157.907, 0.0412578, 132.972, 157.153, 0.0593003, 135.488, 157.153, 0.0432199, 124.417, 163.443, 0.114314, 130.707, 154.636, 0.0812178, 132.72, 153.63, 0.0735888, 133.978, 152.624, 0.0539737, 122.907, 162.688, 0.0797933, 126.681, 153.882, 0.0992058, 131.714, 154.385, 0.0744056, 131.462, 152.372, 0.0538894, 122.656, 162.688, 0.0502065, 124.668, 154.133, 0.0437517, 127.688, 154.133, 0.0361965, 131.21, 154.133, 0.0278764]","[125.442, 184.686, 0.574074, 124.636, 176.624, 0.399447, 124.098, 164.8, 0.254858, 125.442, 160.232, 0.116393, 123.023, 155.395, 0.0945394, 121.68, 163.725, 0.556396, 122.755, 157.545, 0.557561, 124.905, 153.514, 0.699593, 126.786, 151.364, 0.652902, 122.486, 166.144, 0.670602, 126.517, 159.157, 0.51418, 130.817, 154.32, 0.498591, 131.891, 151.633, 0.505868, 125.173, 169.637, 0.600786, 128.935, 161.038, 0.582772, 131.891, 157.007, 0.455292, 134.041, 154.051, 0.477584, 128.667, 173.131, 0.708192, 131.891, 166.681, 0.72184, 135.116, 162.382, 0.803736, 135.922, 158.62, 0.670028]",False,False
1536,p_45,7,"[136.468, 139.15, 0.856566, 134.99, 148.652, 0.891029, 99.6946, 147.322, 0.819423, 86.1366, 219.309, 0.780425, 124.176, 183.983, 0.869483, 167.7, 148.658, 0.862835, 177.167, 216.588, 0.827819, 147.343, 179.845, 0.874078, 129.591, 235.641, 0.57694, 102.433, 235.634, 0.599256, 150.013, 232.936, 0.767264, 204.348, 322.644, 0.65352, 155.437, 234.3, 0.532085, 137.746, 277.759, 0.670265, 136.456, 404.151, 0.402644, 129.617, 132.324, 0.830289, 145.959, 133.695, 0.899319, 117.396, 121.451, 0.707507, 156.816, 124.171, 0.710714, 137.767, 429.944, 0.380263, 144.542, 428.591, 0.402987, 136.404, 424.538, 0.335474, 235.616, 321.28, 0.648503, 227.468, 330.701, 0.575108, 205.733, 333.486, 0.449161]","[128.946, 182.314, 0.128742, 126.933, 178.288, 0.0874399, 130.707, 175.52, 0.0523678, 126.933, 159.417, 0.0596287, 136.494, 157.153, 0.0350763, 123.41, 164.449, 0.141271, 128.946, 157.907, 0.0410951, 132.972, 157.153, 0.0592405, 135.488, 157.153, 0.0431323, 124.417, 163.443, 0.114715, 130.707, 154.636, 0.0811785, 132.72, 153.882, 0.0738466, 133.978, 152.624, 0.0539783, 122.907, 162.688, 0.0802257, 126.681, 153.882, 0.0995197, 131.714, 154.385, 0.0751268, 131.462, 152.372, 0.0543015, 122.656, 162.688, 0.0504733, 124.668, 154.133, 0.0440739, 127.688, 154.133, 0.0364034, 131.21, 154.133, 0.0279549]","[125.442, 184.686, 0.574089, 124.636, 176.624, 0.399483, 124.098, 164.8, 0.254846, 125.442, 160.232, 0.116399, 123.024, 155.395, 0.0945416, 121.68, 163.725, 0.556478, 122.755, 157.545, 0.557685, 124.905, 153.514, 0.699654, 126.786, 151.364, 0.652933, 122.486, 166.144, 0.670592, 126.517, 159.157, 0.514254, 130.817, 154.32, 0.498619, 131.891, 151.633, 0.505963, 125.173, 169.637, 0.60079, 128.935, 161.038, 0.582803, 131.891, 157.007, 0.455397, 134.041, 154.051, 0.477683, 128.667, 173.131, 0.708195, 131.891, 166.681, 0.721903, 135.116, 162.382, 0.803862, 135.922, 158.62, 0.670025]",False,False
1033,p_45,8,"[136.468, 139.152, 0.855615, 134.991, 148.651, 0.891432, 99.6958, 147.322, 0.819731, 86.136, 219.309, 0.780429, 124.176, 183.982, 0.869466, 167.7, 148.658, 0.86311, 177.167, 216.588, 0.827713, 147.343, 179.845, 0.873961, 129.591, 235.644, 0.576415, 102.434, 235.64, 0.598945, 150.012, 232.936, 0.767775, 204.369, 323.951, 0.652289, 155.437, 234.302, 0.531496, 137.743, 277.759, 0.672889, 136.457, 404.155, 0.404588, 129.617, 132.328, 0.830867, 145.958, 133.697, 0.899377, 117.401, 121.455, 0.70922, 156.817, 124.171, 0.715452, 137.767, 429.945, 0.37986, 144.543, 428.592, 0.403557, 136.403, 424.539, 0.338084, 235.627, 321.266, 0.65389, 228.819, 329.4, 0.576922, 205.743, 333.501, 0.46104]","[128.946, 182.314, 0.128649, 126.933, 178.288, 0.0874862, 130.707, 175.52, 0.0524506, 126.933, 159.417, 0.0596327, 136.494, 157.153, 0.0350761, 123.41, 164.449, 0.141332, 128.946, 157.907, 0.0411044, 132.972, 157.153, 0.0592369, 135.488, 157.153, 0.043132, 124.417, 163.443, 0.114779, 130.707, 154.636, 0.081187, 132.72, 153.882, 0.073838, 133.978, 152.624, 0.0539753, 122.907, 162.688, 0.0802587, 126.681, 153.882, 0.0995254, 131.714, 154.385, 0.0751134, 131.462, 152.372, 0.0542991, 122.656, 162.688, 0.0504826, 124.669, 154.133, 0.0440715, 127.688, 154.133, 0.0363967, 131.21, 154.133, 0.0279542]","[125.442, 184.686, 0.574191, 124.636, 176.624, 0.399491, 124.099, 164.8, 0.254878, 125.442, 160.232, 0.116494, 123.024, 155.395, 0.0945681, 121.68, 163.725, 0.556408, 122.755, 157.545, 0.557488, 124.905, 153.514, 0.699578, 126.786, 151.364, 0.653135, 122.486, 166.144, 0.670681, 126.517, 159.157, 0.514092, 130.817, 154.32, 0.498346, 131.892, 151.633, 0.505718, 125.174, 169.637, 0.60091, 128.936, 161.038, 0.583089, 131.892, 157.007, 0.455812, 134.042, 154.051, 0.478093, 128.667, 173.131, 0.708193, 131.892, 166.681, 0.721858, 135.116, 162.382, 0.803838, 135.923, 158.619, 0.67038]",False,False
679,p_45,9,"[136.468, 139.152, 0.855609, 134.991, 148.651, 0.891434, 99.6958, 147.322, 0.819731, 86.1359, 219.309, 0.780422, 124.176, 183.982, 0.869474, 167.7, 148.658, 0.863108, 177.167, 216.588, 0.827711, 147.343, 179.846, 0.873951, 129.591, 235.644, 0.576461, 102.434, 235.64, 0.599034, 150.012, 232.936, 0.767786, 204.369, 323.951, 0.652254, 155.437, 234.302, 0.531555, 137.744, 277.759, 0.67286, 136.457, 404.155, 0.404637, 129.617, 132.328, 0.830871, 145.959, 133.697, 0.899372, 117.401, 121.455, 0.709231, 156.817, 124.171, 0.715506, 137.767, 429.945, 0.379864, 144.543, 428.592, 0.403557, 136.403, 424.539, 0.338202, 235.627, 321.265, 0.653687, 228.82, 329.398, 0.576739, 205.743, 333.502, 0.461204]","[128.946, 182.314, 0.128643, 126.933, 178.288, 0.0877944, 130.707, 175.52, 0.0525601, 126.933, 159.417, 0.0605719, 136.494, 157.153, 0.0356058, 123.411, 164.449, 0.142213, 128.946, 157.908, 0.0413457, 132.972, 157.153, 0.0594974, 135.236, 156.901, 0.0434502, 124.417, 163.443, 0.114954, 130.707, 154.637, 0.0813107, 132.72, 153.63, 0.0739292, 133.978, 152.624, 0.0543587, 122.907, 162.688, 0.0802081, 126.682, 153.882, 0.0995766, 131.714, 154.385, 0.0749338, 131.462, 152.372, 0.0541862, 122.656, 162.688, 0.0504357, 124.669, 154.133, 0.0438074, 127.688, 154.133, 0.036327, 131.211, 154.133, 0.0279603]","[125.442, 184.686, 0.574191, 124.636, 176.624, 0.399491, 124.099, 164.8, 0.254878, 125.442, 160.232, 0.116494, 123.024, 155.395, 0.0945681, 121.68, 163.725, 0.556408, 122.755, 157.545, 0.557488, 124.905, 153.514, 0.699578, 126.786, 151.364, 0.653135, 122.486, 166.144, 0.670681, 126.517, 159.157, 0.514092, 130.817, 154.32, 0.498346, 131.892, 151.633, 0.505718, 125.174, 169.637, 0.60091, 128.936, 161.038, 0.583089, 131.892, 157.007, 0.455812, 134.042, 154.051, 0.478093, 128.667, 173.131, 0.708193, 131.892, 166.681, 0.721858, 135.116, 162.382, 0.803838, 135.923, 158.619, 0.67038]",False,False
